event,universe,sample,daily_volatility_cutoff,horizon_days,signal_count,tradeable_count,stock_count,year_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,median_net_return,net_up_rate,mean_benchmark_return,mean_excess_return,median_excess_return,mean_net_return_ci95_low,mean_net_return_ci95_high
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.01,20,3997,3958,1799,16,0.004179379193274591,-0.002100642015069154,0.4861040929762506,0.0025735753786633436,-0.0036964033191277945,0.4770085901970692,0.007287266852176552,-0.0031078876589019583,-0.009222222576236838,-0.008513155448249949,0.013660306205576636
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,,1,17335,17250,777,16,0.003324100456543812,0.0,0.49826086956521737,0.0017196643356797718,-0.0015991204837338957,0.4791884057971014,0.0016785267172696498,0.001645573739274162,-0.0017884425420882644,-0.00029149615151264794,0.0037308248228721916
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,,3,17335,17168,777,16,0.004711121387712345,-0.001575302811562318,0.4830498602050326,0.003104467253265907,-0.003171904196302311,0.46726467847157505,0.0036583983138977166,0.0010527230738146297,-0.004284330090722155,-0.0013843398926658458,0.00759327439919766
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,,5,17335,17133,777,16,0.005450643178326267,-0.0013824487954727793,0.4878305025389599,0.003842806459436289,-0.0029793585770203634,0.4762738574680441,0.005025467129960749,0.00042517604836551785,-0.0065125853031478,-0.0024220746615961153,0.010107687580468695
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,,10,17335,17069,777,16,0.0093327803619149,0.0,0.49961919268849964,0.007718735637933979,-0.0015991204837341177,0.4897182025894897,0.008932518292752444,0.0004002620691624548,-0.009358154865271473,-0.00037468083938964683,0.015812152115257605
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,,20,17335,17081,777,16,0.012786664619848767,-0.00404121666595092,0.48392951232363446,0.01116709671880254,-0.005633874757335122,0.47825068789883496,0.014873872512945608,-0.0020872078930968397,-0.01620892970043908,-0.00263905472152374,0.024973248159128818
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,0.025,1,11222,11175,748,16,0.0032958107203556355,0.0,0.4955704697986577,0.001691419838188214,-0.0015991204837338957,0.47516778523489933,0.002122298142735598,0.001173512577620038,-0.0019790012873011076,4.381330398039616e-05,0.0033390263723960317
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,0.025,3,11222,11124,748,16,0.006131619376126432,-0.00018391011769153254,0.49325782092772386,0.0045226936942496165,-0.0017827365069891243,0.4749190938511327,0.004584420270541457,0.0015471991055849754,-0.003631115416082742,0.0003417947801866404,0.008703592608312593
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,0.025,5,11222,11103,748,16,0.006943946157121212,3.4996306346180006e-06,0.5002251643699901,0.0053337214668494224,-0.001595626449430565,0.4867153021705845,0.006114821144654349,0.0008291250124668634,-0.005336229096674305,-0.00028248075992345825,0.010949923693622302
连续两日放量+第二日整根K线大于实体2倍,当日沪深300,全部信号,0.025,10,11222,11069,748,16,0.010909191099864487,0.0017728572710595802,0.5119703676935586,0.009292625505181734,0.0001709017749487174,0.5013099647664649,0.010022343946143512,0.0008868471537209753,-0.007830821065367699,0.0013377220990666745,0.017247528911296793
